index,f_bus,t_bus,br_x,rate_a
184,4005,4006,0.00451,4.0
185,4005,4102,0.02316,4.0
186,4005,4202,0.0082,4.0
187,4005,6202,0.03304,4.0
188,4006,4007,0.0003,4.0
189,4006,4202,0.0082,4.0
190,4008,6401,0.0673,4.0
191,4009,4010,0.00131,4.0
192,4009,4104,0.02,4.0
193,4092,4093,0.00165,4.0
194,4093,4094,0.01263,4.0
195,4095,4096,0.00165,4.0
196,4096,4097,0.01263,4.0
197,4101,4102,0.02069,4.0
198,4101,4103,0.074,4.0
199,4101,4201,0.0082,4.0
200,4102,4201,0.0082,4.0
201,4102,4202,0.0082,4.0
202,4102,6202,0.02258,4.0
203,4103,6202,0.074,4.0
204,4104,5004,0.02,4.0
205,4201,4202,0.02408,4.0
206,4201,5001,0.00239,4.0
207,4202,4203,0.00165,4.0
208,4203,4204,0.01266,4.0
209,5001,5002,0.007,4.0
210,5003,5004,0.02,4.0
211,6102,6103,0.02316,4.0
212,6102,6301,0.0046,4.0
213,6102,6403,0.0673,4.0
214,6103,6301,0.0046,4.0
215,6103,6501,0.0673,4.0
216,6104,6204,0.0965,4.0
217,6104,6305,0.0965,4.0
218,6201,6202,0.01405,4.0
219,6203,6205,0.074,4.0
220,6203,6303,0.0965,4.0
221,6203,6304,0.0965,4.0
222,6204,6205,0.025,4.0
223,6302,7001,0.0046,4.0
224,6303,6304,0.0965,4.0
225,6303,6305,0.0965,4.0
226,6305,6510,0.0965,4.0
227,6401,6403,0.0673,4.0
228,6401,6404,0.0965,4.0
229,6403,6404,0.0673,4.0
230,6404,6507,0.0965,4.0
231,6501,6502,0.00332,4.0
232,6501,6504,0.00238,4.0
233,6501,6509,0.00226,4.0
234,6502,6503,0.0602,4.0
235,6502,6504,0.00225,4.0
236,6502,6508,0.0172,4.0
237,6502,6509,0.00106,4.0
238,6503,6504,0.0349,4.0
239,6503,6505,0.0878,4.0
240,6503,6507,0.0374,4.0
241,6503,6508,0.0392,4.0
242,6504,6507,0.034,4.0
243,6504,7002,0.1369,4.0
244,7001,7002,0.0046,4.0
245,8001,8002,0.0111,4.0
246,8003,8004,0.13702,4.0
247,8003,8005,0.27403,4.0
248,8004,8005,0.13702,4.0
