line_row,original_index,from_bus,to_bus,From,To,state_label
69,69,2610,2613,63,66,X63#66
70,70,2610,2616,63,69,X63#69
71,71,2610,2617,63,70,X63#70
72,72,2611,2612,64,65,X64#65
73,73,2612,2615,65,68,X65#68
74,74,2612,2618,65,71,X65#71
75,75,2612,2619,65,72,X65#72
76,76,2612,2620,65,73,X65#73
77,77,2613,2616,66,69,X66#69
78,78,2613,2617,66,70,X66#70
79,79,2614,2616,67,69,X67#69
80,80,2615,2617,68,70,X68#70
81,81,2615,2620,68,73,X68#73
82,82,2616,2617,69,70,X69#70
83,83,2901,2902,80,81,X80#81
84,84,3101,3102,82,83,X82#83
85,85,3102,3103,83,84,X83#84
86,86,3102,3302,83,96,X83#96
87,87,3103,3204,84,92,X84#92
88,88,3103,3305,84,99,X84#99
89,89,3104,3105,85,86,X85#86
90,90,3201,3202,89,90,X89#90
91,91,3201,3203,89,91,X89#91
92,92,3201,3923,89,152,X89#152
93,93,3201,3924,89,153,X89#153
94,94,3202,3203,90,91,X90#91
95,95,3202,3204,90,92,X90#92
96,96,3202,3205,90,93,X90#93
97,97,3202,3924,90,153,X90#153
98,98,3203,3204,91,92,X91#92
99,99,3203,3303,91,97,X91#97
100,100,3203,3305,91,99,X91#99
101,101,3203,3923,91,152,X91#152
102,102,3204,3205,92,93,X92#93
103,103,3204,3923,92,152,X92#152
104,104,3205,3914,93,143,X93#143
105,105,3205,3915,93,144,X93#144
106,106,3301,3902,95,131,X95#131
107,107,3301,3903,95,132,X95#132
108,108,3302,3304,96,98,X96#98
109,109,3303,3304,97,98,X97#98
110,110,3303,3918,97,147,X97#147
111,111,3305,3923,99,152,X99#152
112,112,3401,3402,101,102,X101#102
113,113,3401,3404,101,104,X101#104
114,114,3401,3405,101,105,X101#105
115,115,3401,3804,101,117,X101#117
116,116,3403,3404,103,104,X103#104
117,117,3403,3804,103,117,X103#117
118,118,3404,3804,104,117,X104#117
119,119,3404,3917,104,146,X104#146
120,120,3404,3918,104,147,X104#147
121,121,3405,3907,105,136,X105#136
122,122,3501,3914,108,143,X108#143
123,123,3501,3915,108,144,X108#144
124,124,3601,3925,110,154,X110#154
125,125,3701,3926,112,155,X112#155
126,126,3801,3802,114,115,X114#115
127,127,3801,3803,114,116,X114#116
128,128,3802,3891,115,123,X115#123
129,129,3802,3901,115,130,X115#130
130,130,3803,3891,116,123,X116#123
131,131,3803,3892,116,124,X116#124
132,132,3803,3894,116,126,X116#126
133,133,3803,3896,116,128,X116#128
134,134,3803,3901,116,130,X116#130
135,135,3804,3806,117,119,X117#119
136,136,3805,3806,118,119,X118#119
137,137,3892,3893,124,125,X124#125
138,138,3894,3895,126,127,X126#127
139,139,3896,3897,128,129,X128#129
140,140,3901,3902,130,131,X130#131
141,141,3901,3903,130,132,X130#132
142,142,3901,8002,130,238,X130#238
143,143,3903,3904,132,133,X132#133
144,144,3903,3905,132,134,X132#134
145,145,3903,8002,132,238,X132#238
146,146,3904,3905,133,134,X133#134
147,147,3905,3906,134,135,X134#135
148,148,3906,4001,135,159,X135#159
149,149,3907,3908,136,137,X136#137
150,150,3907,3923,136,152,X136#152
151,151,3907,8004,136,240,X136#240
152,152,3908,3920,137,149,X137#149
153,153,3909,3919,138,148,X138#148
154,154,3909,3920,138,149,X138#149
155,155,3910,3911,139,140,X139#140
156,156,3910,3924,139,153,X139#153
157,157,3911,3912,140,141,X140#141
158,158,3911,3916,140,145,X140#145
159,159,3911,3921,140,150,X140#150
160,160,3911,3924,140,153,X140#153
161,161,3911,8003,140,239,X140#239
162,162,3912,3924,141,153,X141#153
163,163,3913,3920,142,149,X142#149
164,164,3913,3923,142,152,X142#152
165,165,3913,8004,142,240,X142#240
166,166,3915,3924,144,153,X144#153
167,167,3916,3924,145,153,X145#153
168,168,3919,3922,148,151,X148#151
169,169,3920,3922,149,151,X149#151
170,170,3923,8005,152,241,X152#241
171,171,4001,4090,159,172,X159#172
172,172,4001,4094,159,176,X159#176
173,173,4001,4097,159,179,X159#179
174,174,4001,4204,159,189,X159#189
175,175,4001,8001,159,237,X159#237
176,176,4002,4003,160,161,X160#161
177,177,4002,4090,160,172,X160#172
178,178,4002,4091,160,173,X160#173
179,179,4003,6101,161,198,X161#198
180,180,4004,4005,162,163,X162#163
181,181,4004,4091,162,173,X162#173
182,182,4004,4092,162,174,X162#174
183,183,4004,4095,162,177,X162#177
184,184,4005,4006,163,164,X163#164
185,185,4005,4102,163,181,X163#181
186,186,4005,4202,163,187,X163#187
187,187,4005,6202,163,204,X163#204
188,188,4006,4007,164,165,X164#165
189,189,4006,4202,164,187,X164#187
190,190,4008,6401,166,217,X166#217
191,191,4009,4010,167,168,X167#168
192,192,4009,4104,167,183,X167#183
193,193,4092,4093,174,175,X174#175
194,194,4093,4094,175,176,X175#176
195,195,4095,4096,177,178,X177#178
196,196,4096,4097,178,179,X178#179
197,197,4101,4102,180,181,X180#181
198,198,4101,4103,180,182,X180#182
199,199,4101,4201,180,186,X180#186
200,200,4102,4201,181,186,X181#186
201,201,4102,4202,181,187,X181#187
202,202,4102,6202,181,204,X181#204
203,203,4103,6202,182,204,X182#204
204,204,4104,5004,183,195,X183#195
205,205,4201,4202,186,187,X186#187
206,206,4201,5001,186,192,X186#192
207,207,4202,4203,187,188,X187#188
208,208,4203,4204,188,189,X188#189
209,209,5001,5002,192,193,X192#193
210,210,5003,5004,194,195,X194#195
211,211,6102,6103,199,200,X199#200
212,212,6102,6301,199,210,X199#210
213,213,6102,6403,199,219,X199#219
214,214,6103,6301,200,210,X200#210
215,215,6103,6501,200,222,X200#222
216,216,6104,6204,201,206,X201#206
217,217,6104,6305,201,214,X201#214
218,218,6201,6202,203,204,X203#204
219,219,6203,6205,205,207,X205#207
220,220,6203,6303,205,212,X205#212
221,221,6203,6304,205,213,X205#213
222,222,6204,6205,206,207,X206#207
223,223,6302,7001,211,233,X211#233
224,224,6303,6304,212,213,X212#213
225,225,6303,6305,212,214,X212#214
226,226,6305,6510,214,231,X214#231
227,227,6401,6403,217,219,X217#219
228,228,6401,6404,217,220,X217#220
229,229,6403,6404,219,220,X219#220
230,230,6404,6507,220,228,X220#228
231,231,6501,6502,222,223,X222#223
232,232,6501,6504,222,225,X222#225
233,233,6501,6509,222,230,X222#230
234,234,6502,6503,223,224,X223#224
235,235,6502,6504,223,225,X223#225
236,236,6502,6508,223,229,X223#229
237,237,6502,6509,223,230,X223#230
238,238,6503,6504,224,225,X224#225
239,239,6503,6505,224,226,X224#226
240,240,6503,6507,224,228,X224#228
241,241,6503,6508,224,229,X224#229
242,242,6504,6507,225,228,X225#228
243,243,6504,7002,225,234,X225#234
244,244,7001,7002,233,234,X233#234
245,245,8001,8002,237,238,X237#238
246,246,8003,8004,239,240,X239#240
247,247,8003,8005,239,241,X239#241
248,248,8004,8005,240,241,X240#241
